country,economic_development_index,gender_inequality_composite,youth_vulnerability_index,freedom_index,maternal_health_risk,econ_gender_interaction,freedom_inequality_interaction,youth_compound_risk,wpsi,seats_parliament,maternal_mortality,ip_violence_missing,wpsi_missing,ip_violence,predicted_ipv
Afghanistan,-3.4351478421164487,2.0128293980744023,1.9381001247739384,-2.284677522942525,1.558707693415078,-6.914366563343833,-4.598666083298519,1.4550408584628618,0.286,27.2,638.0,0,0,46.0,36.05090714719268
Angola,-0.958283041962724,1.2481513988302642,0.3172902515802029,-0.7347844419073817,1.415363270499101,-1.1960823193010948,-0.9171222290054134,-2.584103303317134,0.598,29.5,241.0,0,0,38.0,31.806704131336488
Albania,1.1475386162139978,-1.6903091472516465,-0.7160768296524278,0.8236458827492592,-0.7041432274870694,-1.9396950198110168,-1.3922161697072295,0.6190536878646229,0.796,35.7,15.0,0,0,13.0,21.30925591091198
Andorra,1.659921685445072,-2.1348989389457484,-0.5279248649935635,0.8264186185971738,-0.8497480569077027,-3.5437650449897227,-1.7643202319681175,0.2911526516971323,0.8469845657515525,46.4,0.0,1,1,20.157011165644192,21.43055334345504
United Arab Emirates,1.6999652957479383,-1.678001487691456,0.2473247386624076,-0.3540627818927054,-0.8798010603103322,-2.852544295288886,0.5941178747521353,-1.3056474200236925,0.868,50.0,3.0,1,0,20.35945907584631,22.26585025162271
Argentina,-0.2507724724455446,-1.2803806882215452,-0.1812645306704042,-0.5198413457837721,-0.3292627068148444,0.3210842308568449,0.6655948200806403,0.0247993459588458,0.768,44.4,39.0,0,0,27.0,25.14922983031116
Armenia,0.5723939675754395,-1.026175183795336,-1.1030329723586365,1.1577406647117006,-0.6275642779078345,-0.5873764848800681,-1.1880447393978637,0.6844373450127336,0.772,33.6,26.0,0,0,10.0,21.939549988196703
Antigua and Barbuda,0.8824275582971417,-0.7999576056283823,-0.240958840916796,0.3683949661226064,-0.4012087858187172,-0.7059046366758812,-0.2947003550249892,0.0434896350288689,0.7636185163976363,31.4,42.0,1,1,23.83984988061436,23.170388048242955
Australia,1.9797479285389172,-2.0375008805255304,-0.7316146643786063,1.439090131920253,-0.8077396919349311,-4.033738147616639,-2.932147410943117,0.6797839323560161,0.902,37.9,6.0,0,0,23.0,21.227161719591756
Austria,1.7457537661920908,-2.1230206021651807,-0.6802687953523597,1.1297720317248294,-0.8439789617770942,-3.706271211933265,-2.398529299101827,0.4124746943580366,0.911,39.3,5.0,0,0,15.0,21.078858135628625
Azerbaijan,0.332070542129935,-0.2088724731675298,-0.0845833651412027,-0.7808749095353148,-0.3447860175994421,-0.0693603954007619,0.1631032735891123,0.0085934481294809,0.667,18.2,26.0,0,0,14.0,24.786779972665144
Burundi,1.9247628418447251,-0.5431963112370893,-0.3039489685817598,-1.4679936632118102,0.9809485633250594,-1.045524075696272,0.7974087427760774,-0.1427157461981846,0.394,38.9,548.0,0,0,40.0,30.266569990419214
Belgium,1.6247407977556758,-2.190111147898641,-1.1456274597199865,1.0718230058062002,-0.846597279002172,-3.5583629336104368,-2.347411513590389,1.6579083501955632,0.902,42.9,5.0,0,0,22.0,21.064824773422096
Benin,-1.4976993991581795,1.7585098428207198,0.192223380151336,0.0268494054153252,1.1552199130385246,-2.633719135006337,0.0472149436967334,-0.3667709583856246,0.566,8.4,397.0,0,0,26.0,32.32955466935258
Burkina Faso,-2.58928551120506,1.7432930947535674,0.2350872246408295,-0.2784881230608684,1.2239985449768311,-4.513883552029242,-0.4854864219028937,-0.8295424721084652,0.481,6.3,320.0,0,0,19.0,34.31450430215436
Bangladesh,-0.9692182756920922,1.5734410264609304,0.5500033414015144,-1.0068664693649725,0.4422245809137722,-1.5250077985696586,-1.584245011066715,0.4029633675869291,0.593,20.9,173.0,0,0,50.0,29.95035350130518
Bulgaria,1.4131305050950511,-0.7367521402556186,-0.6091586501431925,0.9220041980144013,-0.3996417314459696,-1.0411269240892824,-0.6792885662117752,0.1786088015555474,0.826,23.8,10.0,0,0,19.0,21.46605608683212
Bahrain,1.54652264010475,0.1305018212850854,0.1256104272873029,-0.4687591683697253,-0.7822755729304758,0.2018240211922885,-0.0611739252163311,-0.8809326567277458,0.752,18.8,14.0,1,0,22.83046127712103,23.09382885071947
Bahamas,1.1634853005759913,-0.2611404805838704,-0.2407262616249215,0.8745055425957974,-0.4364544374943143,-0.3038331105446833,-0.2283687976667249,-0.1319130158530196,0.7989831619961112,20.0,70.0,1,1,24.148205877586683,22.776982253521936
Bosnia and Herzegovina,0.6566975469153901,-0.276653263942119,0.1110320200626665,0.3239146370703648,-0.7753702532446207,-0.1816775197769255,-0.0896120415841433,-0.6741505414346983,0.754,24.6,10.0,0,0,12.0,23.56844701518529
Belarus,0.8223440411634729,-1.5756657496734336,-0.8248509216575473,-0.525152427374875,-0.7667962483230659,-1.2957393401093245,0.8274646931724559,0.6788316698529877,0.733,34.7,2.0,0,0,21.0,22.841996641189134
Belize,-0.705566719227462,-0.0286534837579876,1.07116514436183,-0.0307884671206077,-0.1002175943063091,0.0202169445295606,0.0008821968425736,0.527476249156593,0.657,19.6,36.0,0,0,24.0,28.097487550866752
Bolivia (Plurinational State of),-0.6300802096238107,-0.5858653539758434,0.0146572676902895,-0.2982676160935769,0.249432396755976,0.3691421650444275,0.1747446624821944,-0.1436951454690178,0.696,48.2,155.0,0,0,42.0,28.95050519745945
Brazil,0.4046742290820825,0.1074978729456592,0.1562790367476348,-0.087908663843414,-0.2031799672107657,0.0435016188622483,-0.0094499943766619,0.0044911302429755,0.63,14.8,60.0,0,0,23.0,26.41901775770281
Barbados,0.0642593644489849,-1.600281715525201,-0.8945307616700284,0.6148426974125758,-0.3137833822074346,-0.1028330859789807,-0.9839215265935388,0.0943478551506379,0.779,29.4,27.0,1,0,24.375826980000124,23.33845391737234
Brunei Darussalam,1.6342764744152842,0.1473285030867646,0.0946165078219032,-0.5477108267665741,-0.7278370303928732,0.2407755066055191,-0.0806934162319336,-0.9581180103705168,0.6932369300100404,9.1,31.0,1,1,23.66274925040296,24.47407805552561
Bhutan,-0.3619900622794972,0.7637716254492496,0.0594079097047687,-0.119962499501779,-0.2754385760091523,-0.2764777382636866,-0.0916239532374285,-0.3114766502920402,0.7,16.7,183.0,0,0,22.0,28.316921439895204
Botswana,1.0472299942957946,0.5426888884153297,0.534904566173596,0.592056301505173,0.0353917928601615,0.5683200815195768,0.3213023761431336,0.1056279267561287,0.659,10.8,144.0,0,0,34.0,26.57687668698996
Central African Republic,1.903955679272236,2.365009846502856,0.9187547675195168,-1.2000370471221606,2.998961122568028,4.502873928783871,-2.838099432612122,-0.5537830739124483,0.378,12.9,829.0,0,0,29.0,33.14117887917232
Canada,1.8234545347182007,-1.8940992026769847,-0.7637407922437137,1.3380575412483853,-0.8133358530082474,-3.453803780327476,-2.5344137220144933,0.7186863621239802,0.885,34.4,10.0,1,0,20.92584131306785,21.69341459140604
Switzerland,2.317211311010928,-2.2227827284200847,-0.6827236563814054,1.7961778322205286,-0.8871811959908763,-5.1506572802147526,-3.99251306263082,0.6146741564399806,0.928,39.8,5.0,0,0,12.0,20.853836437093513
Chile,1.3687059682291325,-0.9326547095079554,-0.2359221034565925,1.014391655700698,-0.5828662925156449,-1.2765300672005462,-0.9460771549748284,-0.0539791582681722,0.736,32.7,13.0,0,0,21.0,21.970185426047692
China,0.4655653315624697,-0.5295196752039412,-0.8989873474474027,-1.0360180331009077,-0.7191477360997902,-0.2465260031551741,0.5485919323930186,0.8906470007834959,0.7,24.9,29.0,0,0,19.0,23.594173709862417
Côte d'Ivoire,-0.9234764226511164,1.535019073889181,0.3606954374284978,-0.4226874353529671,1.8057351583845729,-1.4175539230564105,-0.6488332755601046,-0.4163908581712944,0.573,15.6,617.0,0,0,27.0,33.813364221937036
Cameroon,-1.898502066359076,1.0860262643954142,0.3778735624290347,-1.145239763726938,1.6827288828402254,-2.0618231070749222,-1.2437604624374532,-0.5826051840101658,0.466,31.1,529.0,0,0,39.0,34.527111997867706
Congo (Democratic Republic of the),-3.3692451172602893,1.132659051667477,-0.260608236808303,-1.2563069405638712,1.1762525601190632,-3.816205979351317,-1.4229674279023437,-1.3255113096580922,0.384,22.02182162952962,411.9881665254402,0,0,47.0,35.74751490639747
Congo,-2.3973930332528486,0.8101006406148286,0.3109795471309943,-1.2644960805180343,1.2613330638485118,-1.94212963204366,-1.0243690848825997,-1.194587965723316,0.507,13.6,378.0,1,0,33.59457731968713,33.126763042114234
Colombia,0.5312607873083202,0.2197726630298226,0.5665369367076291,-0.1311585423306369,0.0281102773911102,0.1167565979900697,-0.0288250621271137,0.2986832264224592,0.582,19.6,83.0,0,0,30.0,27.43740932154696
Comoros,-1.651742480941686,0.8418537963106089,-0.0210747771897401,-0.7259113124061076,0.4358547325598295,-1.3905256781082618,-0.611111194133898,-0.0803262594791246,0.519,16.7,273.0,0,0,16.0,30.862899981356186
Cabo Verde,0.0737074772351789,-0.860733530432068,0.1099190605659218,1.0640683847981725,-0.0766663977891858,-0.0634424970998768,-0.9158793374684792,0.2276149225000839,0.738,38.9,58.0,0,0,19.0,24.00793957979605
Costa Rica,1.3032153596126492,-1.5208471047010137,-0.0808420841689696,0.9933058663554868,-0.3818596300594549,-1.981991306468788,-1.510666350929274,0.0428988180753848,0.743,45.6,27.0,0,0,27.0,22.67514069067942
Cuba,-0.0687786772349649,-1.3519947743649203,-0.3277708805858248,0.4269360972940672,-0.208877759147034,0.0929884122094041,-0.5772153725293321,-0.0660807292785576,0.7635904868177177,53.4,36.0,0,1,14.0,22.555031887087747
Cyprus,1.5417095363503848,-0.5093707694391347,-0.8412789552418795,1.032948009287895,-0.8247587538979364,-0.7853017727824472,-0.5261535222815977,1.066190792836583,0.739,14.3,6.0,0,0,16.0,21.651027123522404
Czechia,1.6977498024833682,-0.996226715475485,-0.5433091470837889,1.2371697902252297,-0.7933965918827679,-1.6913437094271593,-1.232501596601575,0.360197538623618,0.884,22.1,3.0,0,0,22.0,21.285381412344076
Germany,1.8055192952915045,-1.866952723840892,-0.7713860630820366,1.198689103956613,-0.8133934976940115,-3.3708191662917613,-2.2378958876701964,0.6854117360249592,0.871,34.8,7.0,0,0,21.0,21.43807814919714
Djibouti,-0.8269358020440789,0.1081498965407672,0.7658195268077731,-0.8896621212152103,-0.0839252227952834,-0.0894330214369235,-0.0962168663656645,0.0581227830928518,0.504,26.2,248.0,1,0,25.545570791363435,29.36989834838887
Dominica,0.0051448791632168,-0.7903279175915783,-0.2255270508918395,0.3115703994246657,-0.1614366677355153,-0.0040661416353254,-0.2462427849604723,0.038611746802516,0.7296755540391057,34.4,118.81342330163244,1,1,24.656090903682703,24.748306383992094
Denmark,2.1068158093694045,-2.312533117203321,-0.8439155155333679,1.5737108510786937,-0.8933098177446457,-4.872081331014266,-3.6392584600217024,1.044271754651811,0.932,39.7,4.0,0,0,23.0,20.972547092509657
Dominican Republic,1.1036412837470282,0.0755667907882692,0.5662787165974928,0.693483202426729,0.140928496812508,0.0833986299942085,0.0524043000729596,0.2933084055526364,0.666,25.7,95.0,0,0,19.0,24.889039465847404
Algeria,-1.0822429730486305,2.364895696722968,1.258684692780914,-1.4884356717063572,-0.5272885147713368,-2.559391749771377,-3.5199951148673243,-1.9858808267132917,0.622,7.5,112.0,1,0,25.25584897945067,28.524163645512584
Ecuador,-0.3077498229094532,-0.8506486566949252,0.1244208398247081,0.1257468705788668,0.0302674371300752,0.2617869734560274,-0.1069664065415036,0.0332505543770763,0.655,39.4,59.0,0,0,33.0,26.829174291271947
Egypt,-0.761369142986299,0.582557703243535,1.7100220979700282,-1.799642166283229,-0.2590429577324353,-0.4435414592585969,-1.0483954070501778,0.0255049583045527,0.645,22.9,37.0,0,0,30.0,27.72518654675421
