npv,ipv,atv,ld,ih,wdi,gii,sec_edu_gap,lab_force_gap,wpsi,country,structural_inequality_index,violence_exposure_index,general_danger_index,economic_empowerment_gap,inequality_attitudes_interaction,education_attitudes_interaction,legal_violence_interaction,predicted_violence,predicted_ipv
26.0,30.0,52.0,87.0,13.0,450.66,0.049,3.5999999999999943,41.5,0.868,United Arab Emirates,-0.964292042623473,0.1525858987166047,0.9034416859498484,0.8004695158200271,-0.7895006942477705,0.005758022778853,0.3875011976828195,30.02119573676562,30.02119573676562
34.0,73.0,7.0,26.0,19.0,494.11,0.287,0.4000000000000057,21.599999999999994,0.768,Argentina,-0.0648005235996783,-0.1878191506165705,0.111532268462331,-0.2618811787000452,0.0794345806264954,0.7576951570331053,0.098489958566599,73.01024353373492,73.01024353373492
95.0,38.0,7.0,17.0,7.0,370.1,0.073,-0.1999999999999886,9.4,0.902,Australia,1.9608507691524468,-2.05880949696576,-0.6002091225503796,-0.780152712043074,-2.403674382031364,0.9013794472416576,2.0103145104358515,38.008099181965875,38.008099181965875
23.0,29.0,20.0,28.0,8.0,251.63,0.053,0.0,10.799999999999995,0.911,Austria,1.7817600104369629,-0.8749971021735223,-0.7241523419079554,-0.707868694408255,-1.1317370285546526,0.4422429903656986,0.3709374185256594,29.005079007018452,29.005079007018452
46.0,53.0,20.0,26.0,16.0,372.88,0.048,2.5,9.0,0.902,Belgium,1.7475989231898086,-0.5102019683202904,-0.277318230062543,-0.5314929705310467,-1.1100386139832037,0.1320276492000853,0.2675433817877639,53.00439930007881,53.00439930007881
34.0,47.0,34.0,30.0,7.0,380.84,0.21,1.5999999999999943,13.5,0.826,Bulgaria,0.6369514237865855,-0.0573132570405962,-0.3529617237051052,-0.4498547512956714,0.0005787959119646,-0.0003486483147635,0.0185392662181091,47.00821685827407,47.00821685827407
26.0,30.0,52.0,81.0,14.0,476.09,0.181,3.1999999999999886,41.1,0.752,Bahrain,-1.791043238924371,0.1525858987166047,0.8913296599658272,0.7463273246819564,-1.466391734096993,-0.0582200080973064,0.3415160871983077,30.00941603903849,30.00941603903849
44.0,82.0,25.0,30.0,49.0,624.28,0.39,-3.299999999999997,19.1,0.63,Brazil,-0.8625087313927287,0.5152357627927802,1.085622124204799,-0.7174835246614091,0.3519078733405613,0.5471037640575598,-0.1666646333629219,81.99259827191705,81.99259827191705
75.0,14.0,10.0,31.0,9.0,290.83,0.069,0.0,8.900000000000006,0.885,Canada,1.6187684516182332,-2.3684719321759795,-0.5476405325580144,-0.7794558210124145,-1.7636932678728752,0.7585827545757836,0.6471705200347205,13.99861181899081,13.99861181899081
66.0,22.0,26.0,30.0,7.0,252.78,0.018,0.5999999999999943,11.0,0.928,Switzerland,1.901405473712007,-1.4901731756392358,-0.705781050021324,-0.6417263817230785,-0.6893928547062889,0.2099409614962731,0.4820301382399585,22.001488202137974,22.001488202137974
